"person" "activities" "mean(tBodyAcc.mean.X)" "mean(tBodyAcc.mean.Y)" "mean(tBodyAcc.mean.Z)" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyAccMag.mean.." "tGravityAccMag.mean.." "tBodyAccJerkMag.mean.." "tBodyGyroMag.mean.." "tBodyGyroJerkMag.mean.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAcc.meanFreq...X" "fBodyAcc.meanFreq...Y" "fBodyAcc.meanFreq...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyAccJerk.meanFreq...X" "fBodyAccJerk.meanFreq...Y" "fBodyAccJerk.meanFreq...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyGyro.meanFreq...X" "fBodyGyro.meanFreq...Y" "fBodyGyro.meanFreq...Z" "fBodyAccMag.mean.." "fBodyAccMag.meanFreq.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyAccJerkMag.meanFreq.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroMag.meanFreq.." "fBodyBodyGyroJerkMag.mean.." "fBodyBodyGyroJerkMag.meanFreq.."
1 "LAYING" 0.22159824394 -0.0405139534294 -0.11320355358 -0.25504375 0.77465873 0.58977655 0.023446864 0.00081333847 0.052811325 0.031551954 -0.13199514 0.54327885 -0.11906637 -0.048786067 -0.15544951 -0.90512291 -0.90512291 -0.96035654 -0.77756178 -0.97326441 -0.92631396 -0.88694847 -0.92879208 -0.23409995 0.0079412303 -0.13607767 -0.94917576 -0.89800411 -0.9729599 -0.054980692 -0.16635343 -0.12840717 -0.95217596 -0.93313376 -0.83554013 -0.12946319 -0.30965551 -0.067389048 -0.87510957 -0.24178745 -0.91028972 -0.2985904 -0.87599774 -0.27999474 -0.9524838 -0.27489103
1 "SITTING" 0.261237565425532 -0.00130828765170213 -0.104544182255319 -0.21014776 0.7739047 0.58511978 0.067178002 0.015637893 -0.016186186 0.0092571098 -0.078793121 0.25756479 -0.11001902 -0.036833082 -0.12362339 -0.98744609 -0.98744609 -0.99274198 -0.91521896 -0.99750843 -0.98687443 -0.98900774 -0.98337917 -0.33089384 0.28215937 0.22979633 -0.99288837 -0.99011125 -0.99079124 0.15257604 0.087052284 0.16369105 -0.98159156 -0.99396328 -0.8983206 -0.1772947 -0.088881882 -0.001677066 -0.98218097 0.042903894 -0.99251304 0.52197041 -0.93249135 -0.24675149 -0.99853716 0.42847339
1 "STANDING" 0.278917629056604 -0.0161375901037736 -0.110601817735849 -0.20876483 0.77171208 0.58994727 0.082498475 0.0083569472 0.00023418251 -0.013424389 -0.075370833 0.10054482 -0.10579546 -0.041967089 -0.090942119 -0.99798763 -0.99798763 -0.99513057 -0.97340095 -0.99775558 -0.99361477 -0.99425887 -0.99519692 0.068314314 0.48354504 0.50752503 -0.99448499 -0.99207153 -0.99217342 0.24963245 0.10215185 0.2550511 -0.98877868 -0.99688741 -0.95036266 0.039468108 0.12661959 0.065183838 -0.99506057 0.62369619 -0.99450594 0.61604851 -0.98466623 -0.2516247 -0.9983322 0.43753214
1 "WALKING" 0.277330758736842 -0.0173838185273684 -0.111148103547368 -0.20956406 0.77109662 0.59010467 0.073995503 0.01378212 -0.0073714967 -0.02495981 -0.076133944 0.043037574 -0.10094779 -0.040474051 -0.060445163 -0.99950449 -0.99950449 -0.99665137 -0.98209908 -0.99832501 -0.99574989 -0.99345251 -0.99726751 0.089330554 0.32407339 0.51854492 -0.99473789 -0.99311399 -0.99445967 0.25481615 0.17879182 0.43735373 -0.99625209 -0.99727311 -0.99015354 0.088837787 -0.22976395 0.065986097 -0.99839081 0.67738736 -0.99620832 0.16106371 -0.99602715 -0.10334982 -0.99854484 0.54384817
1 "WALKING_DOWNSTAIRS" 0.289188320408163 -0.00991850461020408 -0.107566190908163 -0.20874807 0.77103706 0.58941397 0.077122435 0.011380407 0.0034761282 -0.029550387 -0.068085138 0.045946749 -0.099619225 -0.040330798 -0.047750664 -0.99905773 -0.99905773 -0.99626463 -0.98441252 -0.99894081 -0.99651117 -0.99506101 -0.99473614 -0.0049171859 0.35377568 0.46072288 -0.99530794 -0.99405544 -0.99379202 0.16807125 0.30364311 0.33697381 -0.99850797 -0.99688993 -0.99403343 0.42505194 -0.2305108 0.41615403 -0.99773322 0.63957723 -0.99699634 0.25415745 -0.99633125 0.077716295 -0.99885063 0.63893894
1 "WALKING_UPSTAIRS" 0.255461689622641 -0.0239531492643396 -0.0973020020943396 -0.20871697 0.77129107 0.58933471 0.075608951 0.012335201 0.0013993239 -0.030431147 -0.073488076 0.055590694 -0.098206257 -0.041243883 -0.046094169 -0.99742945 -0.99742945 -0.99351031 -0.98814549 -0.9987064 -0.99470159 -0.99566666 -0.99156425 0.037372839 0.51763917 0.33551455 -0.99303347 -0.99262297 -0.990766 0.1877201 0.27588406 0.18979962 -0.99851987 -0.99647274 -0.99242118 0.35721184 -0.18285949 0.4572391 -0.99485336 0.62589709 -0.99297665 0.12645375 -0.99698871 0.099895475 -0.99911686 0.59712819
2 "LAYING" 0.281373403958333 -0.0181587397583333 -0.107245610416667 -0.20863346 0.77135108 0.58963487 0.075657984 0.0050748365 -0.0012262263 -0.02979633 -0.071422989 0.075146974 -0.098012593 -0.038934592 -0.048297637 -0.99741966 -0.99741966 -0.99320615 -0.99251294 -0.9982823 -0.99403729 -0.99237655 -0.99333595 -0.0012076458 0.31136343 0.54315572 -0.99250045 -0.9898414 -0.99007664 0.14953216 0.14285166 0.44449049 -0.9985193 -0.9957374 -0.99040119 0.32764399 -0.065534723 -0.15828311 -0.99603683 0.60636694 -0.99315112 0.13264009 -0.99599918 -0.02425672 -0.99859072 0.39450638
2 "SITTING" 0.27708735173913 -0.0156879937282609 -0.109218272456522 -0.20856027 0.7707487 0.59001704 0.073531787 0.010824142 -0.0019587455 -0.02885418 -0.072704386 0.085061987 -0.097892616 -0.038695857 -0.057581924 -0.99728212 -0.99728212 -0.9949283 -0.9959893 -0.99875541 -0.99569054 -0.99259551 -0.99203037 0.044484925 0.20768029 0.20249602 -0.99512491 -0.99247489 -0.99221261 0.12626874 0.047782148 0.18853112 -0.99866809 -0.99586517 -0.99505323 0.274076 -0.18585085 0.34427643 -0.99390379 0.43802823 -0.99399846 0.52123462 -0.99789256 0.19547453 -0.99871186 0.25753648
2 "STANDING" 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.20760682 0.76992271 0.5904504 0.073964485 0.014924539 -0.0019185204 -0.027737135 -0.075772812 0.086471819 -0.097968616 -0.041539573 -0.0556776 -0.9957705 -0.9957705 -0.9932731 -0.99683171 -0.99906282 -0.99529395 -0.98974733 -0.99107413 0.043309032 0.43782343 0.16315056 -0.99453409 -0.98683269 -0.99182548 0.16004874 0.27663332 0.10515966 -0.99922538 -0.99727454 -0.99484631 0.2403441 -0.24458824 0.25162277 -0.99334705 0.43934678 -0.99422415 0.66509324 -0.99828512 0.23148437 -0.99929934 0.61784313
2 "WALKING" 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.20636268 0.7692959 0.59130586 0.078027424 0.0085359751 -0.0052980182 -0.027415438 -0.076236511 0.088193255 -0.097854591 -0.041437227 -0.051773459 -0.9958683 -0.9958683 -0.99125179 -0.99705625 -0.99886744 -0.99307421 -0.98879666 -0.99237312 0.042898076 0.43069519 0.47759772 -0.99174989 -0.98657491 -0.9907817 0.18098251 0.17428776 0.43300776 -0.99955507 -0.99748347 -0.994006 0.36170784 -0.063420823 0.33465106 -0.99380693 0.63632658 -0.99574837 0.41231545 -0.99861154 0.30056637 -0.99902758 0.91857638
